"","add_to_cart_order","reordered","order_number","order_dow","order_hour_of_day","days_since_prior_order","aisle_id","department_id"
"85",3,1,10,1,10,30,83,4
"86",3,0,10,0,13,30,83,4
"87",10,1,9,6,20,30,83,4
"88",1,1,19,1,5,22,83,4
"89",4,1,5,0,12,5,83,4
"90",9,0,9,5,15,12,83,4
"91",7,1,5,0,13,0,83,4
"92",9,1,32,3,12,8,83,4
"93",2,1,7,2,12,30,83,4
"94",5,0,11,0,13,30,83,4
"95",5,1,9,4,13,6,83,4
"96",7,1,22,1,14,10,83,4
"97",4,1,17,1,13,15,83,4
"98",5,1,10,0,17,27,83,4
"99",8,1,15,0,10,14,83,4
"100",8,0,27,0,7,5,83,4
"101",6,0,42,0,9,8,83,4
"102",5,1,32,5,22,9,83,4
"103",4,1,5,4,19,16,83,4
"104",21,1,49,6,11,7,83,4
"105",2,1,7,6,8,30,66,6
"106",2,1,26,6,9,20,66,6
"107",2,0,15,2,18,30,66,6
"108",11,0,13,2,12,30,87,17
"109",7,1,9,3,16,20,14,20
"110",6,0,9,3,12,30,14,20
"111",8,1,4,3,16,30,14,20
"112",2,1,16,0,10,15,14,20
"113",6,0,6,2,9,30,14,20
"114",15,0,13,6,9,9,14,20
"115",18,1,7,1,12,9,14,20
"116",1,0,32,6,10,7,14,20
"117",16,1,5,0,20,28,41,8
"118",2,1,7,1,10,6,41,8
"119",11,0,6,4,8,30,41,8
"120",2,0,13,6,16,30,41,8
"121",2,0,4,0,8,30,41,8
"122",2,0,7,6,9,30,41,8
"123",29,0,37,6,12,15,22,11
"124",12,0,5,4,12,3,128,3
"125",7,0,4,1,14,6,128,3
"126",6,1,11,5,5,14,96,20
"127",5,1,23,0,16,1,92,18
"128",1,1,29,6,17,4,92,18
"129",8,1,7,2,14,30,92,18
"130",11,0,5,0,15,29,92,18
"131",13,1,79,0,21,3,92,18
"132",5,0,18,3,10,18,92,18
"133",7,0,15,0,16,30,92,18
"134",3,0,20,6,16,5,92,18
"135",31,0,16,1,21,11,92,18
"136",13,0,4,1,16,30,123,4
"137",6,0,6,1,8,30,130,14
"138",3,0,39,3,18,5,66,6
"139",29,0,22,1,23,28,66,6
"140",12,0,9,6,18,20,14,20
"141",8,1,36,0,19,7,65,11
"142",18,1,8,6,15,14,3,19
"143",7,0,4,0,15,7,95,15
"144",6,1,74,5,18,4,95,15
"145",15,1,19,2,15,30,95,15
"146",9,1,48,0,17,5,95,15
"147",12,0,20,5,17,30,95,15
"148",6,0,16,0,10,24,95,15
"149",8,1,11,0,12,30,95,15
"150",17,0,5,5,14,12,95,15
"151",22,0,45,5,9,15,95,15
"152",5,1,51,0,13,1,95,15
"153",17,1,4,0,20,30,95,15
"154",1,1,23,0,10,17,38,1
"155",28,1,34,4,14,13,128,3
"156",17,0,9,6,21,12,40,8
"157",1,1,5,2,21,13,23,19
"158",12,1,25,2,11,14,23,19
"159",7,0,5,0,10,11,23,19
"160",2,0,7,2,10,23,23,19
"161",39,0,7,6,12,30,66,6
"162",4,0,11,2,14,2,66,6
"163",13,0,8,4,15,23,66,6
"164",3,0,4,5,13,11,66,6
"165",30,0,5,0,14,9,66,6
"166",10,1,34,2,15,19,66,6
"167",20,0,10,0,14,6,97,13
"168",11,0,35,6,8,11,83,4
"169",8,1,12,0,18,7,83,4
"170",5,1,9,0,14,3,83,4
"171",5,0,28,6,11,26,38,1
"172",1,0,73,3,13,7,92,18
"173",9,0,9,2,6,30,92,18
"174",6,1,7,2,15,30,92,18
"175",18,1,29,0,10,30,70,11
"176",4,1,15,3,17,7,50,19
"177",14,0,8,4,16,30,50,19
"178",6,1,11,4,12,28,93,3
"179",11,1,28,5,12,14,93,3
"180",2,1,16,1,11,7,93,3
"181",30,1,19,4,9,8,93,3
"182",3,1,67,0,17,3,93,3
"183",6,0,13,4,6,9,93,3
"184",1,0,6,6,10,30,93,3
"185",9,0,25,2,7,15,93,3
"186",18,1,8,5,9,7,2,16
"187",2,1,40,1,16,4,2,16
"188",15,0,5,3,15,5,2,16
"189",9,1,15,4,14,15,2,16
"190",23,0,5,1,13,14,2,16
"191",12,1,20,1,0,25,2,16
"192",2,1,41,2,22,5,2,16
"193",4,1,8,1,8,7,2,16
"194",12,1,39,6,18,6,2,16
"195",5,1,54,0,13,7,2,16
"196",4,1,4,6,18,12,2,16
"197",1,1,6,6,13,30,2,16
"198",3,1,12,4,9,30,2,16
"199",29,1,19,4,9,8,34,1
"200",2,1,23,6,8,6,21,16
"201",3,0,8,6,13,30,21,16
"202",2,0,14,4,15,30,19,13
"203",2,0,30,0,13,13,19,13
"204",19,0,11,4,15,12,19,13
"205",4,0,20,0,15,30,19,13
"206",1,0,10,1,20,30,4,9
"207",11,0,11,1,13,30,108,16
"208",2,1,35,1,7,6,108,16
"209",22,1,9,6,8,25,116,1
"210",8,1,10,2,22,5,116,1
"211",2,1,60,3,18,7,116,1
"212",8,1,8,2,15,30,116,1
"213",3,1,63,4,9,7,116,1
"214",4,0,18,6,15,30,116,1
"215",14,1,29,1,1,8,37,1
"216",3,0,5,0,13,27,37,1
"217",7,1,24,4,22,5,37,1
"218",5,1,10,4,13,21,37,1
"219",1,0,5,1,20,17,37,1
"220",8,1,5,1,13,30,37,1
"221",1,1,35,2,12,13,37,1
"222",4,1,9,1,12,6,93,3
"223",12,1,10,6,16,30,91,16
"224",27,0,17,0,20,30,96,20
"225",8,0,47,5,20,7,107,19
"226",8,1,27,0,18,15,107,19
"227",11,0,20,6,15,14,107,19
"228",11,0,5,3,18,13,107,19
"229",14,1,76,5,14,3,107,19
"230",11,0,11,6,17,21,107,19
"231",11,0,8,6,16,15,107,19
"232",11,1,4,6,16,8,24,4
"233",4,1,13,1,15,0,24,4
"234",24,1,41,0,14,19,24,4
"235",14,0,24,3,15,30,24,4
"236",13,0,5,1,17,30,24,4
"237",32,0,17,0,20,30,58,1
"238",9,1,4,0,17,6,16,4
"239",5,0,4,0,12,6,16,4
"240",6,1,8,4,19,23,97,13
"241",6,1,35,6,8,28,97,13
"242",23,1,43,1,23,0,97,13
"243",20,0,11,2,14,30,97,13
"244",15,0,4,0,17,22,97,13
"245",10,0,7,5,11,11,97,13
"246",5,1,26,2,0,23,97,13
"247",10,1,30,4,15,9,97,13
"248",4,0,4,6,20,10,97,13
"249",9,0,5,6,13,30,97,13
"250",12,1,16,0,11,12,97,13
"251",11,0,15,1,18,30,97,13
"252",3,0,14,4,8,30,97,13
"253",1,1,58,3,23,2,97,13
"254",1,0,4,4,9,6,97,13
"255",5,1,16,0,14,22,52,1
"256",2,0,43,0,16,4,52,1
"257",4,0,6,5,16,5,52,1
"258",34,0,4,3,7,12,52,1
"259",11,1,39,0,12,6,52,1
"260",4,1,38,4,21,6,52,1
"261",7,1,27,4,22,7,52,1
"262",19,1,45,5,9,15,52,1
"263",15,1,70,5,12,17,52,1
"264",5,1,12,1,18,30,52,1
"265",7,0,16,0,16,30,52,1
"266",2,1,48,1,14,7,52,1
"267",13,1,46,3,12,6,52,1
"268",3,1,8,1,12,5,52,1
"269",1,1,30,6,10,13,52,1
"270",5,1,13,2,13,11,12,9
"271",7,0,10,6,18,30,12,9
"272",8,0,6,3,14,30,12,9
"273",11,1,7,2,15,30,12,9
"274",8,1,17,4,14,9,12,9
"275",9,0,10,1,15,30,12,9
"276",2,1,7,6,12,30,21,16
"277",4,1,15,3,12,12,21,16
"278",2,1,6,4,18,26,21,16
"279",2,1,20,6,16,5,94,7
"280",11,1,11,3,16,7,42,1
"281",11,0,52,0,10,4,107,19
"282",16,1,19,6,11,9,59,15
"283",11,1,9,5,19,30,59,15
"284",17,0,5,1,15,11,59,15
"285",4,1,5,1,10,10,45,19
"286",25,0,4,2,8,30,45,19
"287",24,1,14,0,10,10,45,19
"288",13,0,5,1,12,30,45,19
"289",9,1,28,6,14,30,45,19
"290",3,1,13,4,16,30,38,1
"291",8,1,17,5,12,8,74,17
"292",4,1,17,1,13,12,74,17
"293",3,0,18,0,10,14,74,17
"294",14,1,30,0,13,29,67,20
"295",1,1,100,1,9,4,67,20
"296",7,0,8,2,22,16,98,7
"297",1,1,5,2,14,9,108,16
"298",1,0,5,1,18,30,77,7
"299",5,1,4,6,23,6,77,7
"300",1,1,8,1,10,30,77,7
"301",1,1,7,5,12,22,77,7
"302",1,1,9,4,15,20,77,7
"303",18,1,5,0,11,30,77,7
"304",5,1,32,1,14,7,77,7
"305",1,1,18,5,12,10,77,7
"306",28,0,35,0,18,7,77,7
"307",1,0,8,6,9,24,77,7
"308",2,1,6,6,14,30,77,7
"309",1,1,18,1,12,30,77,7
"310",3,0,16,6,10,30,77,7
"311",13,1,38,4,10,7,77,7
"312",1,1,5,6,11,7,77,7
"313",14,1,5,3,17,30,77,7
"314",6,1,26,1,13,14,77,7
"315",1,1,10,3,12,15,77,7
"316",9,1,7,5,12,9,77,7
"317",2,1,9,5,21,30,77,7
"318",2,1,49,4,10,7,77,7
"319",1,1,33,4,10,1,77,7
"320",5,1,4,5,10,30,77,7
"321",4,1,8,5,10,14,77,7
"322",2,0,13,4,16,9,77,7
"323",3,1,6,0,14,7,77,7
"324",4,1,6,6,12,30,77,7
"325",10,1,16,2,18,11,77,7
"326",13,1,20,4,17,5,77,7
"327",1,1,5,5,9,2,77,7
"328",6,0,10,3,17,4,77,7
"329",8,1,8,1,5,30,77,7
"330",2,1,38,2,10,8,77,7
"331",1,1,22,3,14,6,77,7
"332",1,1,5,1,12,30,77,7
"333",2,1,4,6,14,30,77,7
"334",2,1,11,2,14,5,77,7
"335",1,1,25,5,15,28,77,7
"336",1,1,6,2,13,26,77,7
"337",7,1,17,1,15,18,77,7
"338",3,1,9,2,11,14,77,7
"339",4,1,19,2,17,14,77,7
"340",1,1,16,6,15,1,77,7
"341",14,1,8,6,0,30,77,7
"342",22,1,78,0,14,7,77,7
"343",4,1,10,3,11,30,77,7
"344",3,1,17,1,12,26,77,7
"345",1,1,7,2,17,4,77,7
"346",2,1,5,4,12,30,77,7
"347",1,1,6,5,18,30,77,7
"348",1,1,17,3,8,30,77,7
"349",1,1,7,5,12,30,77,7
"350",3,1,14,0,15,7,77,7
"351",16,0,10,5,21,6,77,7
"352",3,1,14,4,11,24,77,7
"353",1,1,10,5,9,15,77,7
"354",8,1,28,3,11,30,77,7
"355",1,1,8,4,10,25,77,7
"356",1,1,15,5,13,9,77,7
"357",2,1,8,4,10,20,77,7
"358",2,1,7,1,11,30,77,7
"359",6,0,4,2,11,30,77,7
"360",5,1,54,1,11,3,77,7
"361",5,1,68,1,11,7,77,7
"362",4,1,8,3,15,30,77,7
"363",6,1,5,2,14,11,77,7
"364",1,1,5,5,13,30,77,7
"365",42,0,9,0,21,6,77,7
"366",2,1,20,2,8,30,77,7
"367",1,1,7,6,10,11,77,7
"368",2,1,4,1,18,30,77,7
"369",2,1,18,4,10,30,77,7
"370",17,0,4,6,10,30,77,7
"371",2,1,7,2,10,30,77,7
"372",12,0,26,3,13,6,77,7
"373",7,0,16,4,21,26,77,7
"374",1,1,28,4,15,5,77,7
"375",1,0,8,2,12,30,77,7
"376",1,0,5,2,12,30,77,7
"377",2,0,12,3,10,5,77,7
"378",1,1,30,5,11,17,77,7
"379",1,1,13,2,13,30,77,7
"380",1,1,9,1,9,30,77,7
"381",2,1,77,1,10,7,77,7
"382",3,1,12,2,9,15,77,7
"383",1,1,4,6,12,30,77,7
"384",6,0,22,6,20,26,77,7
"385",2,1,66,5,12,2,77,7
"386",1,1,4,6,11,10,77,7
"387",2,1,28,5,11,1,77,7
"388",14,1,32,4,12,6,77,7
"389",2,1,19,1,15,11,77,7
"390",2,1,6,3,12,13,77,7
"391",1,1,10,4,19,20,77,7
"392",2,1,11,2,10,30,77,7
"393",9,1,7,3,10,13,77,7
"394",4,1,9,2,10,7,77,7
"395",18,0,9,0,9,7,77,7
"396",3,1,63,0,11,2,77,7
"397",1,1,8,5,6,30,77,7
"398",1,1,29,2,14,10,77,7
"399",2,1,6,3,9,23,77,7
"400",3,0,4,3,5,30,77,7
"401",3,0,20,3,15,22,77,7
"402",2,1,80,5,17,2,77,7
"403",1,1,12,4,10,27,77,7
"404",1,0,29,0,16,19,77,7
"405",3,1,13,4,14,7,77,7
"406",1,1,13,6,19,0,77,7
"407",1,1,13,2,11,6,77,7
"408",1,1,18,3,13,30,77,7
"409",2,1,7,1,11,30,77,7
"410",3,1,11,1,10,19,77,7
"411",3,1,4,1,16,30,77,7
"412",11,0,5,0,17,30,77,7
"413",1,1,5,2,16,30,77,7
"414",1,1,13,0,10,30,77,7
"415",1,1,7,5,0,5,77,7
"416",11,1,23,0,11,5,16,4
"417",14,1,45,6,17,10,16,4
"418",23,1,65,3,8,3,11,11
"419",13,1,14,1,13,17,75,17
"420",16,1,41,1,17,8,75,17
"421",14,1,11,6,17,27,75,17
"422",10,1,33,6,15,17,75,17
"423",13,0,6,0,16,15,75,17
"424",14,1,57,5,23,4,75,17
"425",7,1,19,6,11,30,75,17
"426",5,1,30,5,21,0,75,17
"427",8,1,13,2,11,30,3,19
"428",30,0,10,1,15,19,38,1
"429",35,1,25,6,13,24,38,1
"430",9,0,20,2,12,29,45,19
"431",6,1,7,6,13,20,1,20
"432",2,1,50,6,15,9,9,9
"433",8,1,43,1,13,5,9,9
"434",10,0,9,0,21,30,9,9
"435",9,0,6,1,11,12,9,9
"436",3,0,52,4,13,6,9,9
"437",19,1,40,0,9,5,9,9
"438",14,1,16,3,14,30,9,9
"439",3,1,8,3,16,30,9,9
"440",11,0,5,0,12,7,9,9
"441",6,0,4,2,8,5,9,9
"442",14,1,13,6,18,23,9,9
"443",17,1,32,4,21,4,9,9
"444",13,0,12,0,18,30,9,9
"445",18,0,13,5,8,19,9,9
"446",1,1,43,4,2,4,130,14
"447",11,1,12,2,12,18,130,14
"448",4,0,44,5,12,4,130,14
"449",13,1,18,5,19,7,107,19
"450",1,0,7,0,17,7,22,11
"451",13,0,6,2,14,28,130,14
"452",3,1,31,6,22,1,130,14
"453",9,1,6,4,14,11,130,14
"454",11,0,5,3,10,30,82,18
"455",7,0,4,0,14,11,21,16
"456",16,0,6,5,17,18,21,16
"457",5,0,5,3,10,15,69,15
"458",14,1,56,6,15,6,69,15
"459",14,1,17,6,15,30,69,15
"460",3,0,18,2,13,4,69,15
"461",5,0,10,4,11,28,109,11
"462",37,1,6,0,20,20,109,11
"463",16,0,24,2,11,13,107,19
"464",5,0,5,2,14,30,45,19
"465",9,1,8,1,5,30,45,19
"466",3,1,4,0,13,30,75,17
"467",12,1,45,3,18,12,75,17
"468",9,0,6,6,21,30,75,17
"469",25,0,10,1,14,13,117,19
"470",12,1,4,0,9,14,117,19
"471",16,0,17,0,16,6,117,19
"472",14,1,14,2,16,13,117,19
"473",17,0,8,2,8,13,117,19
"474",7,1,4,3,14,21,117,19
"475",10,0,13,0,17,21,117,19
"476",12,0,5,0,15,30,117,19
"477",9,0,24,4,13,7,117,19
"478",17,0,74,4,17,11,117,19
"479",30,1,9,1,12,0,117,19
"480",11,0,9,0,12,9,117,19
"481",12,1,11,0,15,8,117,19
"482",44,0,8,0,12,30,117,19
"483",11,0,48,0,16,6,117,19
"484",13,1,11,0,23,5,117,19
"485",10,1,12,5,12,29,79,1
"486",5,0,13,3,9,15,47,11
"487",16,0,19,0,11,0,50,19
"488",15,0,5,5,18,27,38,1
"489",19,0,4,2,10,30,38,1
"490",7,0,5,3,18,2,38,1
"491",8,1,12,0,16,7,38,1
"492",7,1,13,0,13,30,38,1
"493",20,1,13,2,12,30,38,1
"494",3,0,5,6,13,30,38,1
"495",3,0,4,5,14,30,38,1
"496",10,1,5,0,16,30,38,1
"497",1,0,4,1,16,5,38,1
"498",10,1,46,6,20,13,24,4
"499",12,0,12,2,16,21,24,4
"500",10,0,41,3,15,7,24,4
"501",19,1,34,2,15,8,24,4
"502",12,0,6,6,8,30,24,4
"503",8,1,13,6,8,11,24,4
"504",18,0,5,6,16,28,24,4
"505",24,1,16,6,10,6,24,4
"506",6,1,15,1,19,23,24,4
"507",13,1,43,4,10,7,24,4
"508",6,1,49,4,11,3,24,4
"509",7,1,9,0,15,14,24,4
"510",4,0,6,3,18,1,24,4
"511",7,0,32,5,10,30,24,4
"512",5,1,8,6,22,4,24,4
"513",7,1,11,3,14,10,24,4
"514",19,1,51,6,18,4,24,4
"515",15,1,10,6,13,7,24,4
"516",10,0,6,0,11,30,24,4
"517",8,1,17,0,8,28,24,4
"518",5,1,9,4,18,13,24,4
"519",7,0,12,0,21,9,24,4
"520",9,1,31,0,8,29,24,4
"521",5,1,6,2,14,30,24,4
"522",13,1,5,3,15,6,24,4
"523",18,0,4,1,9,10,24,4
"524",4,0,8,1,15,14,24,4
"525",2,0,7,0,15,30,24,4
"526",22,0,5,0,14,9,24,4
"527",5,1,20,5,14,30,24,4
"528",2,0,11,1,14,12,24,4
"529",13,1,48,1,14,7,24,4
"530",31,0,4,5,12,30,24,4
"531",6,0,8,4,15,23,24,4
"532",16,1,32,1,19,0,24,4
"533",7,0,5,1,10,30,24,4
"534",5,1,9,6,17,3,24,4
"535",8,1,18,5,17,5,24,4
"536",7,1,22,1,10,6,24,4
"537",4,1,28,6,13,3,24,4
"538",22,0,17,0,16,6,24,4
"539",5,1,44,6,9,13,24,4
"540",2,1,43,2,12,5,24,4
"541",10,1,27,5,16,11,24,4
"542",11,0,11,4,13,27,24,4
"543",12,1,6,6,10,5,24,4
"544",5,1,17,0,16,14,24,4
"545",5,0,6,5,11,5,24,4
"546",20,1,46,1,23,7,24,4
"547",4,1,25,4,20,1,24,4
"548",13,1,21,1,10,6,24,4
"549",19,1,13,6,18,5,24,4
"550",4,1,15,0,11,30,24,4
"551",2,1,24,1,13,1,24,4
"552",6,0,11,1,14,30,24,4
"553",1,0,26,3,8,2,24,4
"554",8,1,19,1,13,6,24,4
"555",27,1,17,1,13,15,24,4
"556",21,1,24,1,22,25,24,4
"557",9,1,16,3,14,30,24,4
"558",31,0,7,0,11,13,24,4
"559",4,1,21,0,16,4,24,4
"560",1,1,11,0,16,22,24,4
"561",8,1,4,5,11,30,24,4
"562",7,1,54,0,9,4,24,4
"563",14,0,11,1,13,24,24,4
"564",20,0,49,5,8,5,24,4
"565",10,1,10,5,21,6,24,4
"566",5,1,42,0,15,7,24,4
"567",15,1,60,0,9,8,24,4
"568",22,1,9,1,7,7,24,4
"569",2,1,4,0,13,30,24,4
"570",10,1,11,0,23,5,24,4
"571",8,0,12,1,16,20,24,4
"572",16,1,18,1,8,30,24,4
"573",5,1,64,0,8,8,24,4
"574",17,1,36,6,9,7,24,4
"575",15,1,34,1,10,11,24,4
"576",2,1,58,3,23,2,24,4
"577",10,1,4,1,13,25,24,4
"578",26,1,34,4,14,13,24,4
"579",26,0,5,1,11,4,24,4
"580",1,1,6,6,13,30,24,4
"581",15,1,6,1,6,30,24,4
"582",3,0,25,6,18,2,24,4
"583",8,1,20,0,16,3,24,4
"584",4,0,11,5,15,15,24,4
"585",14,0,7,0,14,19,24,4
"586",6,1,14,5,14,21,24,4
"587",28,1,33,1,7,5,24,4
"588",7,1,13,6,23,30,24,4
"589",17,1,9,5,10,5,24,4
"590",14,0,4,1,15,30,24,4
"591",16,0,6,2,14,28,24,4
"592",3,1,11,1,15,8,24,4
"593",4,0,5,4,17,3,24,4
"594",6,0,4,0,9,30,24,4
"595",9,1,8,1,14,9,38,1
"596",5,0,15,1,9,20,38,1
"597",23,0,4,6,10,30,38,1
"598",13,1,7,1,11,14,38,1
"599",8,1,8,2,17,14,38,1
"600",23,1,7,1,11,0,38,1
"601",5,0,8,5,14,30,97,13
"602",24,0,11,0,15,21,97,13
"603",2,0,10,4,9,27,120,16
"604",10,0,14,0,13,30,120,16
"605",2,1,20,5,14,30,120,16
"606",11,1,17,1,9,17,120,16
"607",16,1,4,3,23,30,120,16
"608",3,1,9,2,10,27,120,16
"609",4,1,7,5,19,30,120,16
"610",10,0,4,1,16,30,120,16
"611",5,1,13,1,10,14,120,16
"612",7,1,5,6,10,30,120,16
"613",8,0,6,4,15,5,37,1
"614",5,1,7,4,16,9,107,19
"615",36,1,6,4,18,26,107,19
"616",16,1,14,2,16,13,87,17
"617",8,1,31,0,14,8,87,17
"618",4,0,4,3,1,30,87,17
"619",28,1,50,2,16,10,87,17
"620",3,0,7,1,21,4,87,17
"621",6,1,29,2,15,5,87,17
"622",8,0,8,3,11,30,87,17
"623",7,1,100,0,11,7,37,1
"624",1,1,31,6,8,10,37,1
"625",4,0,4,0,14,5,37,1
"626",5,0,12,5,11,30,37,1
"627",1,0,7,2,12,2,37,1
"628",14,1,61,6,11,5,37,1
"629",4,1,22,6,12,25,77,7
"630",19,1,11,1,21,15,77,7
"631",4,1,21,0,18,7,77,7
"632",2,0,8,3,14,30,77,7
"633",5,1,4,0,14,14,77,7
"634",1,1,22,3,16,2,77,7
"635",8,0,17,3,15,10,77,7
"636",18,1,20,6,9,6,77,7
"637",26,0,22,3,11,12,4,9
"638",15,0,4,0,18,30,4,9
"639",3,0,61,6,17,2,4,9
"640",9,0,25,0,12,29,94,7
"641",4,1,31,6,7,9,73,11
"642",10,0,9,1,22,13,73,11
"643",10,1,35,4,15,19,73,11
"644",4,1,12,1,10,15,73,11
"645",13,0,7,1,7,12,73,11
"646",4,0,8,3,12,30,73,11
"647",6,1,8,0,11,30,73,11
"648",16,0,5,0,15,8,94,7
"649",18,0,10,2,8,30,131,9
"650",1,1,4,1,1,0,131,9
"651",20,1,17,5,11,30,131,9
"652",3,1,14,1,20,7,131,9
"653",1,1,36,5,19,7,131,9
"654",24,1,53,1,8,7,131,9
"655",1,1,59,0,19,5,131,9
"656",13,1,55,6,16,7,131,9
"657",1,1,89,0,10,3,131,9
"658",9,1,41,6,0,11,131,9
"659",7,0,8,4,19,23,131,9
"660",2,0,4,6,19,13,131,9
"661",6,1,11,4,16,30,9,9
"662",9,0,4,5,9,30,89,13
"663",7,0,5,4,18,17,96,20
"664",5,1,5,1,16,30,96,20
"665",2,1,16,2,13,23,96,20
"666",1,1,8,1,15,8,96,20
"667",5,1,19,1,6,30,96,20
"668",1,0,8,5,18,26,96,20
"669",21,1,12,0,7,7,96,20
"670",1,1,9,2,15,14,96,20
"671",5,1,19,0,13,8,96,20
"672",8,1,27,6,11,9,96,20
"673",4,1,10,0,13,30,96,20
"674",8,1,6,0,13,30,96,20
"675",3,0,12,2,10,30,78,19
"676",26,0,21,6,12,14,78,19
"677",1,0,7,0,15,21,17,13
"678",12,1,10,3,17,19,29,13
"679",9,0,37,0,13,7,29,13
"680",22,1,4,3,17,30,21,16
"681",12,1,28,5,17,30,78,19
"682",6,1,34,2,20,25,52,1
"683",17,1,7,4,14,6,52,1
"684",4,0,16,5,17,30,52,1
"685",8,1,8,3,15,6,52,1
"686",10,1,11,5,14,22,52,1
"687",6,1,8,6,14,8,52,1
"688",13,1,8,3,18,17,52,1
"689",5,0,9,2,15,18,52,1
"690",18,0,5,2,21,13,52,1
"691",18,1,17,1,19,30,52,1
"692",13,1,5,0,16,28,52,1
"693",11,1,8,2,16,15,52,1
"694",1,1,4,2,19,30,52,1
"695",6,0,8,3,13,30,52,1
"696",5,1,6,6,11,8,52,1
"697",10,0,8,1,8,30,52,1
"698",3,1,25,1,17,10,52,1
"699",13,1,17,1,16,6,52,1
"700",9,1,5,6,12,9,112,3
"701",5,1,4,0,8,30,79,1
"702",11,1,12,5,12,12,42,1
"703",7,1,9,1,21,17,42,1
"704",5,1,9,6,16,30,42,1
"705",16,0,7,4,15,1,42,1
"706",8,1,24,2,11,18,42,1
"707",5,1,22,0,8,11,42,1
"708",4,1,4,5,17,11,42,1
"709",6,1,21,5,11,8,84,16
"710",20,1,30,3,14,30,84,16
"711",2,0,5,2,13,28,84,16
"712",19,1,41,5,7,3,84,16
"713",3,1,9,0,16,30,84,16
"714",7,1,4,1,13,30,84,16
"715",16,0,14,3,18,4,84,16
"716",9,1,36,1,12,7,84,16
"717",14,1,5,3,16,8,84,16
"718",5,1,70,5,12,17,84,16
"719",1,1,12,1,15,14,84,16
"720",2,1,33,6,13,0,84,16
"721",1,0,4,0,8,30,84,16
"722",1,1,6,2,13,30,84,16
"723",1,0,5,2,10,6,84,16
"724",2,1,100,5,14,2,84,16
"725",1,1,14,2,16,6,84,16
"726",10,1,13,3,22,8,84,16
"727",3,1,20,5,11,1,84,16
"728",1,0,8,3,18,30,84,16
"729",5,0,18,6,17,4,84,16
"730",20,1,41,3,8,14,84,16
"731",3,1,100,4,21,2,84,16
